Name of City,State,Type,Population (2011),Population class
Guntur,Andhra Pradesh,Municipal Corporation / Corporation,"6,51,382",Class I
Amravati,Maharashtra,Municipal Corporation / Corporation,"6,46,801",Class I
Bikaner,Rajasthan,Municipal Corporation / Corporation.,"6,44,406",Class I
Noida,Uttar Pradesh,Census town,"6,42,381",Class I
Jamshedpur,Jharkhand,Notified area committee / Notified Area Council ,"6,29,659",Class I
Bhilai Nagar,Chhattisgarh,Municipal Corporation / Corporation,"6,25,697",Class I
Cuttack,Odisha,Municipal Corporation / Corporation,"6,06,007",Class I
Kochi,Kerala,Municipal Corporation / Corporation,"6,01,574",Class I
Udaipur,Rajasthan,Municipal Corporation / Corporation,"5,98,483",Class I
Bhavnagar,Gujarat,Municipal Corporation / Corporation,"5,93,768",Class I
Dehradun,Uttarakhand,Municipal Corporation / Corporation,"5,78,420",Class I
Asansol,West Bengal,Municipal Corporation / Corporation.,"5,64,491",Class I
Nanded-Waghala,Maharashtra,Municipal Corporation / Corporation.,"5,50,564",Class I
Ajmer,Rajasthan,Municipal Corporation / Corporation.,"5,42,580",Class I
Jamnagar,Gujarat,Municipal Corporation / Corporation,"5,29,308",Class I
Ujjain,Madhya Pradesh,Municipal Corporation / Corporation.,"5,15,215",Class I
Sangli,Maharashtra,Urban Agglomeration,"5,13,862",
Loni,Uttar Pradesh,Nagar Panchayat,"5,12,296",Class I
Jhansi,Uttar Pradesh,Municipal Corporation / Corporation.,"5,07,293",Class I
Pondicherry,Puducherry,Urban Agglomeration,"5,05,959",
Nellore,Andhra Pradesh,Municipal Corporation / Corporation,"5,05,258",Class I
Jammu,Jammu and Kashmir,Municipal Committee,"5,03,690",Class I
Belagavi,Karnataka,Municipal Corporation / Corporation.,"4,88,292",Class I
Raurkela,Odisha,Municipal Corporation / Corporation,"4,84,874",
Mangaluru,Karnataka,Municipal Corporation / Corporation,"4,84,785",Class I
Tirunelveli,Tamil Nadu,Municipal Corporation / Corporation.,"4,74,838",Class I
Malegaon,Maharashtra,Municipal Corporation / Corporation,"4,71,006",Class I
Gaya,Bihar,Municipal Corporation / Corporation.,"4,63,454",Class I
Tiruppur,Tamil Nadu,Municipal Corporation / Corporation,"4,44,543",Class I
Davanagere,Karnataka,Municipal Corporation / Corporation.,"4,35,128",Class I
Kozhikode,Kerala,Municipal Corporation / Corporation,"4,32,097",Class I
Akola,Maharashtra,Municipal Corporation / Corporation.,"4,27,146",Class I
Kurnool,Andhra Pradesh,Municipal Corporation / Corporation,"4,24,920",Class I
Bokaro Steel City,Jharkhand,Census town,"4,13,934",Class I
Rajahmundry,Andhra Pradesh,Urban Agglomeration,"4,13,616",
Ballari,Karnataka,Municipal Corporation / Corporation.,"4,09,644",Class I
Agartala,Tripura,Municipal Corporation / Corporation.,"3,99,688",Class I
Bhagalpur,Bihar,Municipal Corporation / Corporation.,"3,98,138",Class I
Latur,Maharashtra,Municipal Council,"3,82,754",Class I
Dhule,Maharashtra,Municipal Corporation / Corporation,"3,76,093",Class I
Korba,Chhattisgarh,Municipal Corporation / Corporation.,"3,63,210",Class I
Bhilwara,Rajasthan,Municipality,"3,60,009",Class I
Brahmapur,Odisha,Municipal Corporation / Corporation,"3,55,823",Class I
Mysore,Karnatka,Municipal Corporation / Corporation.,"3,51,838",Class I
Muzaffarpur,Bihar,Municipal Corporation / Corporation.,"3,51,838",Class I
Ahmednagar,Maharashtra,Municipal Corporation / Corporation.,"3,50,905",Class I
Kollam,Kerala,Municipal Corporation / Corporation,"3,49,033",Class I
Raghunathganj,West Bengal,Municipality,"3,46,854",
Bilaspur,Chhattisgarh,Municipal Corporation / Corporation,"3,30,106",Class I
Shahjahanpur,Uttar Pradesh,Urban Agglomeration,"3,21,885",
Thrissur,Kerala,Municipal Corporation / Corporation.,"3,15,596",Class I
Alwar,Rajasthan,Municipal Council,"3,15,310",Class I
Kakinada,Andhra Pradesh,Municipal Corporation / Corporation,"3,12,255",Class I
Nizamabad,Telangana,Municipal Corporation / Corporation,"3,10,467",Class I
Sagar,Madhya Pradesh,Urban Agglomeration,"3,08,922",
Tumkur,Karnataka,City Municipal Council,"3,05,821",Class I
Hisar,Haryana,Municipal Council,"3,01,249",Class I
Rohtak,Haryana,Municipal Corporation / Corporation.,"2,94,577",
Panipat,Haryana,Municipal Council,"2,94,150",Class I
Darbhanga,Bihar,Municipal Corporation / Corporation.,"2,94,116",Class I
Kharagpur,West Bengal,Municipality/Industrial Township,"2,93,719",Class I
Aizawl,Mizoram,Notified Town,"2,91,822",Class I
Ichalkaranji,Maharashtra,Municipal Council,"2,87,570",Class I
Tirupati,Andhra Pradesh,Municipal Corporation / Corporation.,"2,87,035",Class I
Karnal,Haryana,Municipal Council,"2,86,974",Class I
Bathinda,Punjab,Municipal Corporation / Corporation,"2,85,813",Class I
Rampur,Uttar Pradesh,Municipal board,"2,81,494",
Shivamogga,Karnataka,City Municipal Council,"2,74,352",
Ratlam,Madhya Pradesh,Urban Agglomeration,"2,73,892",
Modinagar,Uttar Pradesh,Municipality,"2,72,918",
Durg,Chhattisgarh,Municipal Corporation / Corporation,"2,68,679",Class I
Shillong,Meghalaya,Urban Agglomeration,"2,67,662",
Imphal,Manipur,Municipal Council,"2,64,986",Class I
Hapur,Uttar Pradesh,Nagar Palika Parishad,"2,62,801",Class I
Ranipet,Tamil Nadu,Urban Agglomeration,"2,62,346",
Anantapur,Andhra Pradesh,Municipal Corporation / Corporation.,"2,62,340",Class I
Arrah,Bihar,Municipal Corporation / Corporation.,"2,61,099",Class I
Karimnagar,Telangana,Municipal Corporation / Corporation,"2,60,899",Class I
Parbhani,Maharashtra,Municipal Council,"2,59,329",
Etawah,Uttar Pradesh,Nagar Palika Parishad,"2,56,790",Class I
Bharatpur,Rajasthan,Municipal Corporation / Corporation.,"2,52,109",Class I
Begusarai,Bihar,Municipal Corporation / Corporation.,"2,51,136",Class I
New Delhi,Delhi,Municipal Council,"2,49,998",Class I
Chhapra,Bihar,Municipal Corporation / Corporation,"2,49,555",Class I
Kadapa,Andhra Pradesh,Municipal Corporation / Corporation,"2,41,823",Class I
Ramagundam,Telangana,Municipal Corporation / Corporation,"2,37,686",
Pali,Rajasthan,Municipal Council,"2,29,956",Class I
Satna,Madhya Pradesh,Urban Agglomeration,"2,29,307",
Vizianagaram,Andhra Pradesh,Municipality,"2,28,025",Class I
Katihar,Bihar,Municipal Corporation / Corporation,"2,25,982",Class I
Hardwar,Uttarakhand,Nagar Palika Parishad,"2,25,235",Class I
Sonipat,Haryana,Urban Agglomeration,"2,25,074",
Nagercoil,Tamil Nadu,Municipality,"2,24,329",Class I
Thanjavur,Tamil Nadu,Municipality,"2,22,619",Class I
Murwara (Katni),Madhya Pradesh,Municipal Corporation / Corporation,"2,21,875",Class I
Naihati,West Bengal,Municipality,"2,21,762",Class I
Sambhal,Uttar Pradesh,Nagar Palika Parishad,"2,21,334",Class I
Nadiad,Gujarat,Municipality,"2,18,150",Class I
Yamunanagar,Haryana,Municipal Council,"2,16,628",Class I
English Bazar,West Bengal,Municipality,"2,16,083",Class I
Eluru,Andhra Pradesh,Municipal Corporation / Corporation.,"2,14,414",Class I
Munger,Bihar,Municipal Corporation / Corporation,"2,13,101",Class I
Panchkula,Haryana,Municipal Council,"2,10,175",Class I
Raayachuru,Karnataka,City Municipal Council,"2,07,421",
Panvel,Maharashtra,Municipal Council,"2,04,336",
Deoghar,Jharkhand,Municipal Corporation / Corporation,"2,03,116",Class I
Ongole,Andhra Pradesh,Municipality,"2,02,826",Class I
Nandyal,Andhra Pradesh,Municipality,"2,00,746",Class I
Morena,Madhya Pradesh,Municipality,"2,00,506",Class I
Bhiwani,Haryana,Municipal Council,"1,97,662",Class I
Porbandar,Gujarat,Urban Agglomeration,"1,97,382",
Palakkad,Kerala,Urban Agglomeration,"1,97,369",
Anand,Gujarat,Municipality,"1,97,351",Class I
Purnia,Bihar,Municipal Corporation / Corporation.,"1,97,211",
Baharampur,West Bengal,Municipality,"1,95,363",Class I
Barmer,Rajasthan,Nagar Parishad,"1,89,715",Class I
Morvi,Gujarat,Municipality,"1,88,278",Class I
Orai,Uttar Pradesh,Nagar Palika Parishad.,"1,87,185",Class I
Bahraich,Uttar Pradesh,Nagar Palika Parishad,"1,86,241",Class I
Sikar,Rajasthan,Urban Agglomeration,"1,85,925",
Vellore,Tamil Nadu,Municipal Corporation / Corporation.,"1,85,895",Class I
Singrauli,Madhya Pradesh,Municipal Corporation / Corporation.,"1,85,190",
Khammam,Telangana,Municipal Corporation / Corporation,"1,84,252",Class I
Mahesana,Gujarat,Municipality,"1,84,133",Class I
Silchar,Assam,Urban Agglomeration,"1,84,105",
Sambalpur,Odisha,Municipal Corporation / Corporation.,"1,83,383",Class I
Rewa,Madhya Pradesh,Municipal Corporation / Corporation.,"1,83,274",
Unnao,Uttar Pradesh,Nagar Palika Parishad.,"1,77,658",Class I
Hugli-Chinsurah,West Bengal,Municipality,"1,77,209",Class I
Raiganj,West Bengal,Urban Agglomeration,"1,75,047",
Phusro,Jharkhand,Urban Agglomeration,"1,74,402",
Adityapur,Jharkhand,Nagar Panchayat.,"1,74,355",Class I
Alappuzha,Kerala,Municipality,"1,74,164",Class I
Bahadurgarh,Haryana,Municipal Council,"1,70,426",Class I
Machilipatnam,Andhra Pradesh,Municipality,"1,70,008",Class I
Rae Bareli,Uttar Pradesh,Municipal board,"1,69,333",
Jalpaiguri,West Bengal,Municipal Corporation / Corporation,"1,69,013",Class I
Bharuch,Gujarat,Municipality,"1,68,729",Class I
Pathankot,Punjab,Urban Agglomeration,"1,68,485",
Hoshiarpur,Punjab,Municipal Council,"1,68,443",Class I
Baramula,Jammu and Kashmir,Municipal Council,"1,67,986",Class I
Adoni,Andhra Pradesh,Municipality,"1,66,344",Class I
Jind,Haryana,Municipal Council,"1,66,225",Class I
Tonk,Rajasthan,Municipal Council,"1,65,363",Class I
Tenali,Andhra Pradesh,Municipality,"1,64,649",Class I
Kancheepuram,Tamil Nadu,Municipality,"1,64,265",Class I
Vapi,Gujarat,Municipality,"1,63,630",Class I
Sirsa,Haryana,Municipal Council,"1,60,735",
Navsari,Gujarat,Municipality,"1,60,100",Class I
Mahbubnagar,Telangana,Municipality,"1,57,902",Class I
Puri,Odisha,Municipality,"1,57,837",
Robertson Pet,Karnataka,Urban Agglomeration,"1,57,084",
Erode,Tamil Nadu,Municipal Corporation / Corporation.,"1,56,953",Class I
Batala,Punjab,Municipal Council,"1,56,400",Class I
Haldwani-cum-Kathgodam,Uttarakhand,Nagar Palika Parishad,"1,56,060",Class I
Vidisha,Madhya Pradesh,Municipality,"1,55,959",Class I
Saharsa,Bihar,Nagar Panchayat,"1,55,175",Class I
Thanesar,Haryana,Municipal Council,"1,54,962",Class I
Chittoor,Andhra Pradesh,Municipal Corporation / Corporation.,"1,53,766",Class I
Veraval,Gujarat,Municipality,"1,53,696",Class I
Lakhimpur,Uttar Pradesh,Nagar Palika Parishad,"1,52,010",Class I
Sitapur,Uttar Pradesh,Municipal board,"1,51,908",
Hindupur,Andhra Pradesh,Municipality,"1,51,835",Class I
Santipur,West Bengal,Municipality,"1,51,774",Class I
Balurghat,West Bengal,Municipality,"1,51,183",Class I
Ganjbasoda,Madhya Pradesh,Nagar Panchayat.,"1,50,454",Class I
Moga,Punjab,Municipal Council,"1,50,432",Class I
Proddatur,Andhra Pradesh,Municipality,"1,50,309",
Srinagar,Uttarakhand,,"1,50,000",
Medinipur,West Bengal,Municipality,"1,49,769",
Habra,West Bengal,Municipality,"1,49,675",Class II
Sasaram,Bihar,Nagar Panchayat,"1,47,396",Class I
Hajipur,Bihar,Nagar Panchayat,"1,47,126",Class I
Bhuj,Gujarat,Municipality,"1,47,123",Class I
Shivpuri,Madhya Pradesh,Municipality,"1,46,892",
Ranaghat,West Bengal,Urban Agglomeration,"1,45,285",
Shimla,Himachal Pradesh,Urban Agglomeration,"1,44,975",
Tiruvannamalai,Tamil Nadu,Municipality,"1,44,683",Class I
Kaithal,Haryana,Municipal Council,"1,44,633",Class I
Rajnandgaon,Chhattisgarh,Municipal Corporation / Corporation.,"1,43,770",
Godhra,Gujarat,Municipality,"1,43,126",Class I
Hazaribag,Jharkhand,Nagar Panchayat,"1,42,494",Class I
Bhimavaram,Andhra Pradesh,Municipality,"1,42,280",Class I
Mandsaur,Madhya Pradesh,Municipality,"1,41,468",Class I
Dibrugarh,Assam,Municipal board,"1,38,661",Class I
Kolar,Karnataka,City Municipal Council,"1,38,553",Class I
Bankura,West Bengal,Municipality,"1,38,036",Class I
Mandya,Karnataka,City Municipal Council,"1,37,735",Class I
Dehri-on-Sone,Bihar,Nagar Panchayat,"1,37,068",Class I
Madanapalle,Andhra Pradesh,Municipality,"1,35,669",Class I
Malerkotla,Punjab,Municipal Council,"1,35,330",Class I
Lalitpur,Uttar Pradesh,Nagar Palika Parishad,"1,33,041",Class I
Bettiah,Bihar,Nagar Panchayat,"1,32,896",Class I
Pollachi,Tamil Nadu,Urban Agglomeration,"1,28,458",
Khanna,Punjab,Municipal Council,"1,28,130",Class I
Neemuch,Madhya Pradesh,Municipality,"1,28,108",Class I
Palwal,Haryana,Municipal Council,"1,27,931",Class I
Palanpur,Gujarat,Municipality,"1,27,125",Class I
Guntakal,Andhra Pradesh,Municipality,"1,26,479",Class I
Nabadwip,West Bengal,Municipality,"1,25,528",Class I
Udupi,Karnataka,City Municipal Council.,"1,25,350",Class I
Jagdalpur,Chhattisgarh,Municipal Corporation / Corporation,"1,25,345",Class I
Motihari,Bihar,Nagar Panchayat,"1,25,183",Class I
Pilibhit,Uttar Pradesh,Municipal board,"1,24,245",
Dimapur,Nagaland,Municipal Committee,"1,23,777",Class I
Mohali,Punjab,Municipal Council,"1,23,484",
Sadulpur,Rajasthan,Municipality,"1,22,326",
Rajapalayam,Tamil Nadu,Municipality,"1,22,307",
Dharmavaram,Andhra Pradesh,Municipality,"1,21,992",Class I
Kashipur,Uttarakhand,Nagar Palika Parishad.,"1,21,610",Class I
Sivakasi,Tamil Nadu,Urban Agglomeration,"1,21,358",
Darjiling,West Bengal,Municipality,"1,20,414",Class I
Chikkamagaluru,Karnataka,City Municipal Council,"1,18,496",Class I
Gudivada,Andhra Pradesh,Municipality,"1,18,289",Class I
Baleshwar Town,Odisha,Municipality,"1,18,202",Class I
Mancherial,Telangana,Urban Agglomeration,"1,18,195",
Srikakulam,Andhra Pradesh,Urban Agglomeration,"1,17,320",
Adilabad,Telangana,Municipality,"1,17,167",Class I
Yavatmal,Maharashtra,Municipal Council,"1,16,714",Class I
Barnala,Punjab,Municipal Council,"1,16,454",Class I
Nagaon,Assam,Municipal board,"1,16,355",Class I
Narasaraopet,Andhra Pradesh,Municipality,"1,16,329",Class I
Raigarh,Chhattisgarh,Urban Agglomeration,"1,15,908",
Roorkee,Uttarakhand,Urban Agglomeration,"1,15,278",
Valsad,Gujarat,Municipality,"1,14,636",Class I
Ambikapur,Chhattisgarh,Municipal Corporation / Corporation.,"1,14,575",Class I
Giridih,Jharkhand,Town Panchayat,"1,14,447",Class I
Chandausi,Uttar Pradesh,Nagar Palika Parishad,"1,14,254",Class I
Purulia,West Bengal,Municipality,"1,13,806",
Patan,Gujarat,Urban Agglomeration,"1,13,749",
Bagaha,Bihar,Nagar Panchayat,"1,13,012",Class I
Hardoi ,Uttar Pradesh,Municipality,"1,12,486",Class II
Achalpur,Maharashtra,Municipal Council,"1,12,293",Class I
Osmanabad,Maharashtra,Municipal Council,"1,12,085",Class I
Deesa,Gujarat,,"1,11,149",Class I
Nandurbar,Maharashtra,Municipal Council,"1,11,067",Class I
Azamgarh,Uttar Pradesh,P.,"1,10,980",Class I
Ramgarh,Jharkhand,Urban Agglomeration,"1,10,496",
Firozpur,Punjab,Municipal Council,"1,10,091",Class I
Baripada Town,Odisha,Municipality,"1,10,058",Class I
Karwar,Karnataka,City Municipal Council,"1,10,000",Class I
Siwan,Bihar,Municipality,"1,09,919",
Rajampet,Andhra Pradesh,Municipality,"1,09,575",
Pudukkottai,Tamil Nadu,Municipality,"1,09,217",
Anantnag,Jammu and Kashmir,Municipal Council,"1,08,505",Class I
Tadpatri,Andhra Pradesh,Municipality,"1,08,249",Class I
Satara,Maharashtra,Municipal Council,"1,08,048",
Bhadrak,Odisha,Municipality,"1,07,369",Class I
Kishanganj,Bihar,Nagar Panchayat,"1,07,076",Class I
Suryapet,Telangana,Urban Agglomeration,"1,06,524",
Wardha,Maharashtra,Municipal Council,"1,06,444",Class I
Ranebennuru,Karnataka,City Municipal Council,"1,06,365",
Amreli,Gujarat,Municipality,"1,05,980",Class I
Neyveli (TS),Tamil Nadu,Census town,"1,05,687",Class I
Jamalpur,Bihar,Nagar Panchayat,"1,05,221",Class I
Marmagao,Goa,Urban Agglomeration,"1,04,758",
Udgir,Maharashtra,Municipal Council,"1,04,063",Class I
Tadepalligudem,Andhra Pradesh,Municipality,"1,03,577",Class I
Nagapattinam,Tamil Nadu,Municipality,"1,02,838",Class I
Buxar,Bihar,Nagar Panchayat,"1,02,591",Class I
Aurangabad,Maharashtra,Municipal Corporation / Corporation.,"1,02,520",Class I
Jehanabad,Bihar,Nagar Panchayat,"1,02,456",Class I
Phagwara,Punjab,Urban Agglomeration,"1,02,253",
Khair,Uttar Pradesh,Nagar Palika Parishad,"1,02,106",Class II
Sawai Madhopur,Rajasthan,Urban Agglomeration,"1,01,997",
Kapurthala,Punjab,Municipal Council,"1,01,654",Class I
Chilakaluripet,Andhra Pradesh,Municipality,"1,01,550",Class I
Aurangabad,Bihar,Nagar Panchayat.,"1,01,520",Class I
Malappuram,Kerala,Municipality,"1,01,330",Class I
Rewari,Haryana,Municipal Council,"1,00,684",
Nagaur,Rajasthan,Municipality,"1,00,618",Class I
Sultanpur,Uttar Pradesh,Municipal board,"1,00,065",
Nagda,Madhya Pradesh,Municipality,"1,00,036",Class I
Port Blair,Andaman and Nicobar Islands,Municipal Council,"99,984",
Lakhisarai,Bihar,Nagar Panchayat,"99,979",Class II
Panaji,Goa,Urban Agglomeration,"99,677",
Tinsukia,Assam,Municipal board.,"99,448",Class II
Itarsi,Madhya Pradesh,Municipality,"99,329",Class II
Kohima,Nagaland,Municipal Committee,"99,039",Class II
Balangir,Odisha,Municipality,"98,238",Class II
Nawada,Bihar,Nagar Parishad,"98,029",Class II
Jharsuguda,Odisha,Municipality,"97,730",Class II
Jagtial,Telangana,Municipality,"96,460",Class II
Viluppuram,Tamil Nadu,Municipality,"96,253",Class II
Amalner,Maharashtra,Municipal Council,"95,994",Class II
Zirakpur,Punjab,Municipal Council,"95,553",Class II
Tanda,Uttar Pradesh,Municipal board,"95,516",Class II
Tiruchengode,Tamil Nadu,Municipality,"95,335",Class II
Nagina,Uttar Pradesh,Nagar Palika Parishad,"95,246",Class II
Yemmiganur,Andhra Pradesh,Municipality,"95,149",Class II
Vaniyambadi,Tamil Nadu,Municipality,"95,061",Class II
Sarni,Madhya Pradesh,Municipality,"95,012",
Theni Allinagaram,Tamil Nadu,Municipality,"94,453",Class II
Margao,Goa,Urban Agglomeration,"94,383",
Akot,Maharashtra,Municipal Council,"92,637",Class II
Sehore,Madhya Pradesh,Urban Agglomeration,"92,518",
Mhow Cantonment,Madhya Pradesh,Urban Agglomeration,"92,364",
Kot Kapura,Punjab,Municipal Council,"91,979",Class II
Makrana,Rajasthan,Urban Agglomeration,"91,853",
Pandharpur,Maharashtra,Municipal Council,"91,379",
Miryalaguda,Telangana,Urban Agglomeration,"91,359",
Shamli,Uttar Pradesh,Municipal board,"90,055",
Seoni,Madhya Pradesh,Municipality,"89,801",
Ranibennur,Karnataka,City Municipal Council,"89,618",
Kadiri,Andhra Pradesh,Municipality,"89,429",Class II
Shrirampur,Maharashtra,Urban Agglomeration,"88,761",
Rudrapur,Uttarakhand,Municipal board,"88,676",
Parli,Maharashtra,Municipal Council,"88,537",
Najibabad,Uttar Pradesh,Municipal board,"88,535",Class II
Nirmal,Telangana,Municipality,"88,433",Class II
Udhagamandalam,Tamil Nadu,Municipality,"88,430",Class II
Shikohabad,Uttar Pradesh,Municipal board,"88,161",
Jhumri Tilaiya,Jharkhand,Nagar Panchayat,"87,867",Class II
Aruppukkottai,Tamil Nadu,Municipality,"87,722",Class II
Ponnani,Kerala,Municipality,"87,495",
Jamui,Bihar,Nagar Panchayat,"87,357",Class II
Sitamarhi,Bihar,Urban Agglomeration,"87,279",
Chirala,Andhra Pradesh,Municipality,"87,200",Class II
Anjar,Gujarat,Municipality,"87,183",Class II
Karaikal,Puducherry,Municipality,"86,838",Class II
Hansi,Haryana,Municipal Council,"86,770",Class II
Anakapalle,Andhra Pradesh,Municipality,"86,519",Class II
Mahasamund,Chhattisgarh,Municipality,85650,Class II
Faridkot,Punjab,Municipal Council,"85,435",Class II
Saunda,Jharkhand,Census town,"85,075",
Dhoraji,Gujarat,Municipality,"84,545",Class II
Paramakudi,Tamil Nadu,Municipality,"84,321",
Balaghat,Madhya Pradesh,Municipality,"84,261",Class II
Sujangarh,Rajasthan,Municipality,"83,846",
Khambhat,Gujarat,Municipality,"83,715",Class II
Muktsar,Punjab,Municipal Council,"83,655",
Rajpura,Punjab,Municipal Council,"82,956",
Kavali,Andhra Pradesh,Municipality,"82,336",Class II
Dhamtari,Chhattisgarh,Municipality,"82,111",Class II
Ashok Nagar,Madhya Pradesh,Municipality,"81,828",Class II
Sardarshahar,Rajasthan,Municipality,"81,394",
Mahuva,Gujarat,Urban Agglomeration,"80,726",
Bargarh,Odisha,Municipality,"80,625",Class II
Kamareddy,Telangana,Municipality,"80,315",Class II
Sahibganj,Jharkhand,Municipality,"80,154",
Kothagudem,Telangana,Municipality,"79,819",Class II
Ramanagaram,Karnataka,City Municipal Council,"79,394",
Gokak,Karnataka,City Municipal Council,"79,121",Class II
Tikamgarh,Madhya Pradesh,Municipality,"79,106",Class II
Araria,Bihar,Nagar Panchayat.,"79,021",Class II
Rishikesh,Uttarakhand,Urban Agglomeration,"78,805",
Shahdol,Madhya Pradesh,Municipality,"78,624",
Medininagar (Daltonganj),Jharkhand,Nagar Parishad,"78,396",Class II
Arakkonam,Tamil Nadu,Municipality,"78,395",Class II
Washim,Maharashtra,Municipal Council,"78,387",Class II
Sangrur,Punjab,Municipal Council,"77,989",
Bodhan,Telangana,Municipality,"77,573",Class II
Fazilka,Punjab,Municipal Council,"76,492",Class II
Palacole,Andhra Pradesh,Urban Agglomeration,"76,308",
Keshod,Gujarat,Municipality,"76,193",Class II
Sullurpeta,Andhra Pradesh,Municipality,"75,925",
Wadhwan,Gujarat,Municipality,"75,755",Class II
Gurdaspur,Punjab,Municipal Council,"75,549",Class II
Vatakara,Kerala,Municipality,"75,295",Class II
Tura,Meghalaya,Municipality,"74,858",Class II
Narnaul,Haryana,Municipal Council,"74,581",Class II
Kharar,Punjab,Municipal Council,"74,460",Class II
Yadgir,Karnataka,City Municipal Council,"74,294",Class II
Ambejogai,Maharashtra,Municipal Council,"73,975",Class II
Ankleshwar,Gujarat,Municipality,"73,928",Class II
Savarkundla,Gujarat,Municipality,"73,774",
Paradip,Odisha,Notified area committee / Notified Area Council,"73,625",
